lr,hidden,batch,l2,activation,seed_count,val_acc_mean,val_acc_std,best_val_acc_single_seed,best_epoch_at_best_seed,elapsed_sec,seed_details
0.005,128,64,0.0001,relu,5,0.830300,0.001494,0.831583,16,545.84,"[{""seed"": 42, ""best_val_acc"": 0.8309166666666666, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.8300833333333333, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8275, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.8315833333333333, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8314166666666667, ""best_epoch"": 16}]"
0.005,128,64,0.0001,sigmoid,5,0.755633,0.001733,0.757917,16,582.85,"[{""seed"": 42, ""best_val_acc"": 0.7568333333333334, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.7529166666666667, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.7579166666666667, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.7558333333333334, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.7546666666666667, ""best_epoch"": 16}]"
0.005,128,64,0.001,relu,5,0.829917,0.001437,0.831333,14,589.70,"[{""seed"": 42, ""best_val_acc"": 0.8303333333333334, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.82975, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.82725, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8309166666666666, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8313333333333334, ""best_epoch"": 14}]"
0.005,128,64,0.001,sigmoid,5,0.754467,0.001682,0.756833,15,607.53,"[{""seed"": 42, ""best_val_acc"": 0.7556666666666667, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.7519166666666667, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.7568333333333334, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.7541666666666667, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.75375, ""best_epoch"": 17}]"
0.005,128,128,0.0001,relu,5,0.818533,0.001669,0.820833,15,61.69,"[{""seed"": 42, ""best_val_acc"": 0.8173333333333334, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8188333333333333, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8160833333333334, ""best_epoch"": 14}, {""seed"": 72, ""best_val_acc"": 0.8208333333333333, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8195833333333333, ""best_epoch"": 16}]"
0.005,128,128,0.0001,sigmoid,5,0.727650,0.004113,0.731500,18,49.75,"[{""seed"": 42, ""best_val_acc"": 0.7310833333333333, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.7234166666666667, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.7315, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.7303333333333333, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.7219166666666667, ""best_epoch"": 17}]"
0.005,128,128,0.001,relu,5,0.818167,0.001622,0.820417,15,49.83,"[{""seed"": 42, ""best_val_acc"": 0.817, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.8188333333333333, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.81575, ""best_epoch"": 14}, {""seed"": 72, ""best_val_acc"": 0.8204166666666667, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8188333333333333, ""best_epoch"": 16}]"
0.005,128,128,0.001,sigmoid,5,0.726767,0.004153,0.730583,18,49.30,"[{""seed"": 42, ""best_val_acc"": 0.7305833333333334, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.7221666666666666, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.73025, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.7295833333333334, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.72125, ""best_epoch"": 18}]"
0.005,256,64,0.0001,relu,5,0.831267,0.002173,0.833833,18,291.02,"[{""seed"": 42, ""best_val_acc"": 0.8325, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.8314166666666667, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8338333333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.83125, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8273333333333334, ""best_epoch"": 16}]"
0.005,256,64,0.0001,sigmoid,5,0.758517,0.001749,0.761167,13,438.06,"[{""seed"": 42, ""best_val_acc"": 0.7561666666666667, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.7611666666666667, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.75975, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.7579166666666667, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.7575833333333334, ""best_epoch"": 14}]"
0.005,256,64,0.001,relu,5,0.831100,0.002219,0.833917,15,569.33,"[{""seed"": 42, ""best_val_acc"": 0.8324166666666667, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.83075, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8339166666666666, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.8311666666666667, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.82725, ""best_epoch"": 16}]"
0.005,256,64,0.001,sigmoid,5,0.757467,0.001829,0.760417,13,252.43,"[{""seed"": 42, ""best_val_acc"": 0.755, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.7604166666666666, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.7584166666666666, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.7568333333333334, ""best_epoch"": 14}, {""seed"": 82, ""best_val_acc"": 0.7566666666666667, ""best_epoch"": 16}]"
0.005,256,128,0.0001,relu,5,0.819833,0.002544,0.823333,18,466.82,"[{""seed"": 42, ""best_val_acc"": 0.8216666666666667, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8170833333333334, ""best_epoch"": 14}, {""seed"": 62, ""best_val_acc"": 0.8233333333333334, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.82025, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8168333333333333, ""best_epoch"": 16}]"
0.005,256,128,0.0001,sigmoid,5,0.732833,0.003378,0.738833,13,255.98,"[{""seed"": 42, ""best_val_acc"": 0.7284166666666667, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.7388333333333333, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.7316666666666667, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.7324166666666667, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.7328333333333333, ""best_epoch"": 18}]"
0.005,256,128,0.001,relu,5,0.819650,0.002316,0.823083,18,92.82,"[{""seed"": 42, ""best_val_acc"": 0.8209166666666666, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.81725, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8230833333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8200833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8169166666666666, ""best_epoch"": 12}]"
0.005,256,128,0.001,sigmoid,5,0.731983,0.003509,0.738167,13,269.04,"[{""seed"": 42, ""best_val_acc"": 0.7274166666666667, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.7381666666666666, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.7304166666666667, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.7318333333333333, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.7320833333333333, ""best_epoch"": 17}]"
0.01,128,64,0.0001,relu,5,0.845100,0.000812,0.846583,15,575.84,"[{""seed"": 42, ""best_val_acc"": 0.8449166666666666, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8441666666666666, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8451666666666666, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8465833333333334, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8446666666666667, ""best_epoch"": 16}]"
0.01,128,64,0.0001,sigmoid,5,0.792283,0.000473,0.793167,15,557.84,"[{""seed"": 42, ""best_val_acc"": 0.7920833333333334, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.79225, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.7931666666666667, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.79175, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.7921666666666667, ""best_epoch"": 16}]"
0.01,128,64,0.001,relu,5,0.844500,0.001303,0.846667,15,548.95,"[{""seed"": 42, ""best_val_acc"": 0.84425, ""best_epoch"": 13}, {""seed"": 52, ""best_val_acc"": 0.8425833333333334, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8446666666666667, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.8466666666666667, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8443333333333334, ""best_epoch"": 17}]"
0.01,128,64,0.001,sigmoid,5,0.789883,0.001111,0.791333,15,554.96,"[{""seed"": 42, ""best_val_acc"": 0.7903333333333333, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.7885833333333333, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.7913333333333333, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.7885833333333333, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.7905833333333333, ""best_epoch"": 17}]"
0.01,128,128,0.0001,relu,5,0.835900,0.001541,0.838000,15,342.10,"[{""seed"": 42, ""best_val_acc"": 0.8374166666666667, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8344166666666667, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.83425, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.838, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8354166666666667, ""best_epoch"": 16}]"
0.01,128,128,0.0001,sigmoid,5,0.755683,0.001723,0.757833,16,346.56,"[{""seed"": 42, ""best_val_acc"": 0.7570833333333333, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.753, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.7578333333333334, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.7558333333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.7546666666666667, ""best_epoch"": 16}]"
0.01,128,128,0.001,relu,5,0.835350,0.001424,0.837083,18,338.46,"[{""seed"": 42, ""best_val_acc"": 0.8370833333333333, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.83375, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8339166666666666, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.8369166666666666, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8350833333333333, ""best_epoch"": 17}]"
0.01,128,128,0.001,sigmoid,5,0.754533,0.001665,0.756750,15,363.59,"[{""seed"": 42, ""best_val_acc"": 0.7558333333333334, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.7519166666666667, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.75675, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.7541666666666667, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.754, ""best_epoch"": 17}]"
0.01,256,64,0.0001,relu,5,0.846100,0.001347,0.847250,17,1023.34,"[{""seed"": 42, ""best_val_acc"": 0.847, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8465, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.84725, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.84625, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8435, ""best_epoch"": 17}]"
0.01,256,64,0.0001,sigmoid,5,0.795867,0.000638,0.796750,18,982.59,"[{""seed"": 42, ""best_val_acc"": 0.796, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.7955833333333333, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.79675, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.7961666666666667, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.7948333333333333, ""best_epoch"": 16}]"
0.01,256,64,0.001,relu,5,0.845700,0.001251,0.847083,16,1039.25,"[{""seed"": 42, ""best_val_acc"": 0.8470833333333333, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8459166666666667, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8465, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.8455833333333334, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8434166666666667, ""best_epoch"": 17}]"
0.01,256,64,0.001,sigmoid,5,0.793583,0.000776,0.794667,17,988.06,"[{""seed"": 42, ""best_val_acc"": 0.7935, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.79375, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.7946666666666666, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.79375, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.79225, ""best_epoch"": 17}]"
0.01,256,128,0.0001,relu,5,0.837150,0.001855,0.840083,18,554.35,"[{""seed"": 42, ""best_val_acc"": 0.8378333333333333, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8370833333333333, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8400833333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8363333333333334, ""best_epoch"": 13}, {""seed"": 82, ""best_val_acc"": 0.8344166666666667, ""best_epoch"": 18}]"
0.01,256,128,0.0001,sigmoid,5,0.759500,0.001870,0.762333,18,561.77,"[{""seed"": 42, ""best_val_acc"": 0.7575, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.7623333333333333, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.7610833333333333, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.7581666666666667, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.7584166666666666, ""best_epoch"": 18}]"
0.01,256,128,0.001,relu,5,0.836900,0.001699,0.839667,18,548.65,"[{""seed"": 42, ""best_val_acc"": 0.8375833333333333, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8363333333333334, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8396666666666667, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8364166666666667, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.8345, ""best_epoch"": 18}]"
0.01,256,128,0.001,sigmoid,5,0.758367,0.001767,0.761083,13,555.76,"[{""seed"": 42, ""best_val_acc"": 0.7560833333333333, ""best_epoch"": 17}, {""seed"": 52, ""best_val_acc"": 0.7610833333333333, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.7595833333333334, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.7578333333333334, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.75725, ""best_epoch"": 14}]"
0.05,128,64,0.0001,relu,5,0.873900,0.001282,0.875000,14,562.91,"[{""seed"": 42, ""best_val_acc"": 0.875, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.87475, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8715, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8745833333333334, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8736666666666667, ""best_epoch"": 17}]"
0.05,128,64,0.0001,sigmoid,5,0.846417,0.000778,0.847750,16,561.05,"[{""seed"": 42, ""best_val_acc"": 0.8456666666666667, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.84775, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8468333333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.846, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8458333333333333, ""best_epoch"": 15}]"
0.05,128,64,0.001,relu,5,0.872550,0.001689,0.874083,16,557.88,"[{""seed"": 42, ""best_val_acc"": 0.87375, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8740833333333333, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8693333333333333, ""best_epoch"": 13}, {""seed"": 72, ""best_val_acc"": 0.87275, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8728333333333333, ""best_epoch"": 17}]"
0.05,128,64,0.001,sigmoid,5,0.842683,0.000640,0.843500,16,538.94,"[{""seed"": 42, ""best_val_acc"": 0.8420833333333333, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8435, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8419166666666666, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8433333333333334, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8425833333333334, ""best_epoch"": 15}]"
0.05,128,128,0.0001,relu,5,0.865783,0.001846,0.867917,17,359.31,"[{""seed"": 42, ""best_val_acc"": 0.8669166666666667, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.86625, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8625, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8653333333333333, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.8679166666666667, ""best_epoch"": 17}]"
0.05,128,128,0.0001,sigmoid,5,0.831200,0.001281,0.832500,17,363.03,"[{""seed"": 42, ""best_val_acc"": 0.8289166666666666, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8323333333333334, ""best_epoch"": 13}, {""seed"": 62, ""best_val_acc"": 0.8311666666666667, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.8325, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8310833333333333, ""best_epoch"": 17}]"
0.05,128,128,0.001,relu,5,0.863783,0.001539,0.865000,17,351.73,"[{""seed"": 42, ""best_val_acc"": 0.8645833333333334, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8643333333333333, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.86075, ""best_epoch"": 14}, {""seed"": 72, ""best_val_acc"": 0.86425, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.865, ""best_epoch"": 17}]"
0.05,128,128,0.001,sigmoid,5,0.829017,0.000924,0.830083,16,350.21,"[{""seed"": 42, ""best_val_acc"": 0.8275833333333333, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8300833333333333, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8285, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8299166666666666, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.829, ""best_epoch"": 16}]"
0.05,256,64,0.0001,relu,5,0.874700,0.000414,0.875417,16,1039.62,"[{""seed"": 42, ""best_val_acc"": 0.8744166666666666, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8749166666666667, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8744166666666666, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8754166666666666, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8743333333333333, ""best_epoch"": 18}]"
0.05,256,64,0.0001,sigmoid,5,0.845850,0.000470,0.846417,17,1003.25,"[{""seed"": 42, ""best_val_acc"": 0.8451666666666666, ""best_epoch"": 16}, {""seed"": 52, ""best_val_acc"": 0.8455833333333334, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.84575, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.8463333333333334, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8464166666666667, ""best_epoch"": 17}]"
0.05,256,64,0.001,relu,5,0.873350,0.000600,0.873833,18,1056.09,"[{""seed"": 42, ""best_val_acc"": 0.8738333333333334, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8735833333333334, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8721666666666666, ""best_epoch"": 14}, {""seed"": 72, ""best_val_acc"": 0.8735833333333334, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8735833333333334, ""best_epoch"": 18}]"
0.05,256,64,0.001,sigmoid,5,0.842717,0.000562,0.843500,15,999.97,"[{""seed"": 42, ""best_val_acc"": 0.8424166666666667, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.8418333333333333, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8428333333333333, ""best_epoch"": 15}, {""seed"": 72, ""best_val_acc"": 0.843, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8435, ""best_epoch"": 15}]"
0.05,256,128,0.0001,relu,5,0.867300,0.000458,0.867917,18,561.66,"[{""seed"": 42, ""best_val_acc"": 0.8679166666666667, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8674166666666666, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8674166666666666, ""best_epoch"": 16}, {""seed"": 72, ""best_val_acc"": 0.8665, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.86725, ""best_epoch"": 17}]"
0.05,256,128,0.0001,sigmoid,5,0.831683,0.000507,0.832333,16,576.62,"[{""seed"": 42, ""best_val_acc"": 0.8315, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.83175, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.832, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8308333333333333, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.8323333333333334, ""best_epoch"": 16}]"
0.05,256,128,0.001,relu,5,0.865667,0.000405,0.866167,17,557.30,"[{""seed"": 42, ""best_val_acc"": 0.8660833333333333, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8655, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8650833333333333, ""best_epoch"": 18}, {""seed"": 72, ""best_val_acc"": 0.8655, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8661666666666666, ""best_epoch"": 17}]"
0.05,256,128,0.001,sigmoid,5,0.829133,0.000816,0.830667,16,573.88,"[{""seed"": 42, ""best_val_acc"": 0.82875, ""best_epoch"": 15}, {""seed"": 52, ""best_val_acc"": 0.82925, ""best_epoch"": 15}, {""seed"": 62, ""best_val_acc"": 0.8285833333333333, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8284166666666667, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.8306666666666667, ""best_epoch"": 16}]"
